Vraag;Antwoord
Inloggen op mijn account lukt niet;Controleer of je het juiste e-mailadres gebruikt. Dit is het e-mailadres waarmee het account is aangemaakt. Klik daarna op ‘Wachtwoord vergeten’ om een nieuw wachtwoord aan te maken. Na het instellen van een nieuw wachtwoord kun je direct opnieuw inloggen. Lukt dit niet, dan is er waarschijnlijk geen account gekoppeld aan dit e-mailadres. Maak in dat geval een nieuw account aan met het juiste e-mailadres. Mocht het alsnog niet lukken, dan horen wij graag van je.
Wachtwoord vergeten of reset werkt niet;Vraag via ‘Wachtwoord vergeten’ een nieuw wachtwoord aan. Controleer hierbij ook de spamfolder van je e-mail. Ontvang je geen e-mail, dan is er waarschijnlijk geen account gekoppeld aan dit e-mailadres. Maak in dat geval een nieuw account aan met hetzelfde e-mailadres dat je voor je bestelling hebt gebruikt. Mocht dit niet het gewenste resultaat geven, dan horen wij graag van je.
Ik kan mijn vorige bestelling niet terugvinden;Bestellingen worden alleen getoond in je account als je tijdens het bestellen was ingelogd. Is de bestelling als gast geplaatst, dan verschijnt deze niet in je account. In dat geval kun je de bestelling terugvinden via de orderbevestiging die per e-mail is verstuurd. Maak eventueel een account aan met hetzelfde e-mailadres om toekomstige bestellingen te bundelen. Kom je er niet uit, dan horen wij graag van je.
Ik heb geen account aangemaakt maar wel besteld;Bij het plaatsen van een bestelling is een account niet verplicht. Alle informatie over je bestelling ontvang je per e-mail. Wil je alsnog een account, dan kun je deze aanmaken met hetzelfde e-mailadres dat je bij de bestelling hebt gebruikt. Na het aanmaken van het account kun je toekomstige bestellingen eenvoudig terugvinden. Mocht dit niet lukken, dan horen wij graag van je
Mijn account is geblokkeerd, wat nu;Na meerdere mislukte inlogpogingen kan een account tijdelijk worden geblokkeerd. Wacht enkele minuten en vraag daarna via ‘Wachtwoord vergeten’ een nieuw wachtwoord aan. Na het instellen van een nieuw wachtwoord kun je opnieuw inloggen. Blijft het probleem bestaan, maak dan een nieuw account aan met hetzelfde e-mailadres. Mocht dit niet helpen, dan horen wij graag van je.
Mijn e-mailadres is verkeerd ingevoerd;Wanneer een e-mailadres verkeerd is ingevoerd, ontvang je geen order- of accountmails. Bestellingen die met een verkeerd e-mailadres zijn geplaatst, zijn niet zichtbaar in een account. Maak een nieuw account aan met het juiste e-mailadres voor toekomstige bestellingen. Heb je hierdoor geen toegang tot eerdere informatie, dan horen wij graag van je.
Kan ik mijn accountgegevens aanpassen;Na het inloggen kun je onder ‘Mijn gegevens’ je naam, adres en wachtwoord aanpassen. Het e-mailadres waarmee je inlogt kan niet worden gewijzigd. Wil je een ander e-mailadres gebruiken, maak dan een nieuw account aan met het juiste e-mailadres. Kom je er niet uit, dan horen wij graag van je.
Kan ik meerdere adressen opslaan;In je account kun je meerdere afleveradressen toevoegen. Tijdens het afrekenen kies je eenvoudig het gewenste afleveradres. Zo kun je per bestelling bepalen waar deze wordt bezorgd. Mocht dit niet werken zoals verwacht, dan horen wij graag van je.
Ik ontvang geen e-mails over mijn account of bestelling;Controleer eerst de spamfolder van je e-mail. Controleer daarna of het juiste e-mailadres is gebruikt bij het bestellen of aanmaken van het account. Probeer eventueel in te loggen of een account aan te maken met hetzelfde e-mailadres. Ontvang je nog steeds geen e-mails, dan horen wij graag van je.
Betaling is mislukt;Controleer eerst of de betaling daadwerkelijk is afgerond in je bank- of betaalomgeving. Is de betaling afgebroken of mislukt, dan wordt de bestelling niet verwerkt. Binnen één uur ontvang je automatisch een betaalherinnering per e-mail. Via deze e-mail kun je de betaling opnieuw afronden. Je kunt er ook voor kiezen om een nieuwe bestelling te plaatsen en het betaalproces opnieuw te doorlopen. In dat geval kun je de betaalherinnering van de eerdere bestelling negeren. Is het bedrag wel afgeschreven, maar heb je geen betaalbevestiging ontvangen, dan horen wij graag van je.
Mijn betaling staat op afwachten;Wanneer een betaling nog niet is afgerond, krijgt de bestelling de status afwachten. Dit kan voorkomen bij iDEAL, creditcard of bankoverschrijving. Controleer of de betaling volledig is afgerond bij je bank. Wordt de betaling alsnog bevestigd, dan wordt de bestelling automatisch verwerkt. Blijft de status ongewijzigd, dan horen wij graag van je.
Ik heb per ongeluk dubbel besteld;Controleer of beide bestellingen een eigen ordernummer hebben. Wanneer beide bestellingen zijn betaald, worden ze ook beide verwerkt.  Je kunt ervoor kiezen om beide bestellingen te houden. Wil je één van de bestellingen annuleren, laat dit dan zo snel mogelijk weten. Is de bestelling al verzonden, dan kun je deze na ontvangst retourneren.  Twijfel je over wat voor jou de beste optie is, dan horen wij graag van je.
Kan ik mijn bestelling nog annuleren;Zolang een bestelling nog niet is verzonden, kan deze meestal worden geannuleerd. Is de bestelling al verwerkt of verzonden, dan is annuleren niet meer mogelijk.  In dat geval kun je ervoor kiezen om de bestelling te behouden of het pakket na ontvangst te retourneren. Weet je niet zeker wat de actuele status van je bestelling is, dan horen wij graag van je.
Kan ik mijn bestelling nog aanpassen;Na het plaatsen van een bestelling is aanpassen niet meer mogelijk. Bestellingen worden automatisch en snel verwerkt om levertijden kort te houden. Wil je toch iets wijzigen, dan kun je het beste een nieuwe of extra bestelling plaatsen. De eerdere bestelling kun je behouden of eventueel na ontvangst retourneren. Bij twijfel horen wij graag van je.
Welke betaalmethodes zijn er;Tijdens het afrekenen zie je alle beschikbare betaalmethodes. Wij bieden de volgende betaalopties aan: iDEAL, creditcard, Apple Pay, Google Pay, PayPal, Bancontact, overboeking, Klarna, Riverty, Trustly, KBC, CBC, Belfius en EPS.  Staat een betaalmethode er niet tussen, dan is deze op dat moment tijdelijk niet actief. Je kunt in dat geval een andere beschikbare betaalmethode kiezen.  Kom je er niet uit, dan horen wij graag van je.
Ik heb een kortingscode maar deze werkt niet;Controleer of de kortingscode exact is overgenomen, inclusief hoofdletters. Controleer ook of de code nog geldig is en aan de voorwaarden voldoet, zoals een minimale bestelwaarde.  Werkt de kortingscode niet meer, dan is deze niet (meer) geldig en kan deze niet worden toegepast. Is de code correct ingevoerd en lijkt deze nog geldig maar werkt deze toch niet, dan horen wij graag van je.
Kortingscode vergeten in te vullen tijdens betalen;Kortingscodes kunnen alleen tijdens het afrekenen worden ingevoerd. Na het afronden van de betaling kan een kortingscode niet meer worden toegepast.  Twijfel je of dit in jouw situatie van toepassing is, dan horen wij graag van je.
Is er een kortingscode beschikbaar;Actieve kortingscodes worden altijd vermeld in nieuwsbrieven. Zijn er geen codes zichtbaar, dan is er op dat moment geen actie actief. Schrijf je eventueel in voor de nieuwsbrief om toekomstige acties te ontvangen. Heb je een code ontvangen maar werkt deze niet, dan horen wij graag van je.
Wanneer wordt mijn betaling verwerkt;Zodra een betaling succesvol is afgerond, wordt deze automatisch verwerkt. Je ontvangt hiervan een betaalbevestiging per e-mail. Bij bankoverschrijvingen kan dit één tot enkele werkdagen duren. Zodra de betaling is verwerkt, gaat de bestelling verder in het verzendproces. Ontvang je geen betaalbevestiging, dan horen wij graag van je.
Wie bezorgt mijn pakket?;Bestellingen worden verzonden met DPD
Order niet geleverd;Wij versturen op voorraad zijnde artikelen binnen 2 tot 5 werkdagen. Heeft een artikel een andere levertijd, dan staat dit vermeld op de productpagina en tijdens het bestellen. Zodra de bestelling is verzonden, wordt het pakket in 95 procent van de gevallen de volgende werkdag geleverd, uiterlijk binnen 4 werkdagen. Controleer eerst of je een verzendbevestiging met track and trace hebt ontvangen. Zolang de track and trace beweging laat zien, is het pakket onderweg. Heeft het pakket langer dan 4 dagen geen enkele statuswijziging bij DPD, dan horen wij graag van je.
Geen verzendbevestiging ontvangen;De verzendbevestiging wordt automatisch verstuurd zodra je bestelling ons magazijn verlaat. Op voorraad zijnde artikelen worden binnen 2 tot 5 werkdagen verzonden. Heeft een artikel een langere levertijd, dan staat dit vermeld op de website. Controleer ook je spamfolder. Zodra de bestelling is verzonden, ontvang je automatisch een verzendbevestiging per e-mail.
Pakket is bezorgd, maar ik heb niets ontvangen;Controleer eerst of het pakket bij buren is afgeleverd, op een veilige plek rondom het huis is neergezet of bij een pickup point is afgeleverd. Bekijk ook de track and trace informatie van DPD voor aanvullende details. Soms wordt een pakket administratief als bezorgd gemeld terwijl het nog onderweg is of op een afhaalpunt ligt. Kun je het pakket niet terugvinden en geeft de track and trace geen duidelijkheid, dan nemen wij contact op met DPD om dit verder te onderzoeken.
Pakket niet bezorgd;Controleer de track and trace informatie voor de meest actuele status. Het komt regelmatig voor dat een levering door DPD één werkdag wordt uitgesteld, bijvoorbeeld door drukte. Zolang de status blijft veranderen, is het pakket onderweg. Pas wanneer een pakket langer dan 4 dagen geen enkele beweging laat zien bij DPD, ondernemen wij verdere actie. In dat geval horen wij graag van je.
